Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Año-Trimestre,Proporcion_Fibra
2022,3,1395277,6031970,2871541,55711,23523,11091128,2022-3,0.2589043242490755
2022,2,1468333,5979214,2723285,556243,231609,10958684,2022-2,0.2485047474678529
2022,1,1533240,6073426,2219533,545814,251996,10624009,2022-1,0.20891670931378165
2021,4,1657615,5984240,2072236,523107,252596,10489794,2021-4,0.19754782601069193
2021,3,1950631,5826257,1566048,492415,25019,10085541,2021-3,0.15527654887328304
2021,2,2018587,5641731,1472246,476968,253552,9863084,2021-2,0.1492683221596815
2021,1,2175211,5424782,1362976,434548,250455,9647972,2021-1,0.1412707250808771
2020,4,2213949,5371824,1311199,421554,253036,9571562,2020-4,0.13698903063052822
2020,3,2263889,5259351,1170879,413259,248821,9356199,2020-3,0.1251447302478282
2020,2,2295533,5005115,1106725,376667,247016,9031056,2020-2,0.12254657705588361
2020,1,2299457,4903674,1047817,352333,209145,8812426,2020-1,0.11890221829947849
2019,4,2414575,4883869,941295,340144,213298,8793181,2019-4,0.10704829117016924
2019,3,2909805,4800091,852221,338241,264326,9164684,2019-3,0.09298967645802081
2019,2,2990457,4635575,760794,308027,265328,8960181,2019-2,0.08490832941879188
2019,1,3132789,4435439,637099,276419,166389,8648135,2019-1,0.07366894711981253
2018,4,3329027,4313831,388013,264299,178485,8473655,2018-4,0.04579051188654719
2018,3,3521447,4238171,247366,246181,9387,8347035,2018-3,0.02963519381433048
2018,2,3557216,4038141,226285,194267,94535,8110444,2018-2,0.027900445401016268
2018,1,3574294,3981129,217460,1653,9887,8037053,2018-1,0.027057181282741323
2017,4,3584311,3818157,211425,155775,100554,7870222,2017-4,0.026863918196970808
2017,3,3622575,3670221,193964,106443,13174,7724943,2017-3,0.025108793683008404
2017,2,3723518,3383434,180777,85813,56122,7429664,2017-2,0.024331786740288658
2017,1,3708898,3276251,180146,84813,55746,7305854,2017-1,0.024657760749119816
2016,4,3722794,3210602,178070,85119,55088,7251673,2016-4,0.024555712867913377
2016,3,3776442,3124855,169898,81455,543,7206950,2016-3,0.023574188803862937
2016,2,3782085,3035272,167788,85452,59482,7130079,2016-2,0.023532418084007203
2016,1,3792493,2806359,164371,8537,58763,6907356,2016-1,0.023796514903821377
2015,4,3803024,2898226,139187,85726,58668,6984831,2015-4,0.01992703903644913
2015,3,3788696,2840203,162663,8453,58976,6935068,2015-3,0.023455141319450652
2015,2,3767821,2756294,150839,82077,59157,6816188,2015-2,0.02212952459644599
2015,1,3756153,2668248,168188,79098,66045,6737732,2015-1,0.02496210891142598
2014,4,3764038,2536219,149682,76984,71573,6598496,2014-4,0.022684260170802557
2014,3,3714764,2569868,155494,85096,70049,6595271,2014-3,0.0235765899536198
2014,2,3708882,2461670,149363,72405,72148,6464468,2014-2,0.023105226911170416
2014,1,3697066,2407330,150323,70749,7293,6398398,2014-1,0.02349384955421654
